,distance,angle,time
0,2.0,125.0,1.35
1,2.0,120.0,1.8
2,2.0,70.0,1.1500000000000001
3,2.0,115.0,1.4000000000000001
4,2.0,125.0,1.6
5,2.0,125.0,1.4500000000000002
6,2.25,135.0,2.0500000000000003
7,2.25,125.0,2.0
8,2.0,125.0,1.6
9,2.25,125.0,1.55
10,2.0,130.0,1.6500000000000001
11,2.25,70.0,1.1
12,2.0,145.0,1.5
13,2.25,150.0,2.0
14,2.0,130.0,1.9000000000000001
15,2.25,120.0,1.75
16,2.0,125.0,1.4500000000000002
17,2.0,145.0,1.6500000000000001
18,2.0,125.0,1.4500000000000002
19,2.0,120.0,1.6500000000000001
20,2.0,130.0,1.25
21,2.0,125.0,1.8
22,2.25,120.0,2.0500000000000003
23,2.25,120.0,1.5
24,2.0,120.0,1.5
25,2.25,125.0,1.7000000000000002
26,2.0,145.0,1.3
27,2.25,125.0,1.8
28,2.0,145.0,1.35
29,2.25,130.0,1.6500000000000001
30,2.25,120.0,1.9500000000000002
31,2.0,95.0,1.3
32,2.25,125.0,2.25
33,2.25,125.0,1.55
34,2.0,120.0,1.4500000000000002
35,2.0,125.0,2.0
36,2.25,120.0,1.8
37,2.25,120.0,1.4500000000000002
38,2.25,120.0,1.75
39,2.0,120.0,1.7000000000000002
40,2.25,130.0,1.8
41,2.25,125.0,2.0
42,2.25,120.0,1.8
43,2.0,125.0,1.2000000000000002
44,2.25,125.0,1.85
45,2.0,125.0,1.5
46,2.0,125.0,1.6
47,2.25,120.0,2.0
48,2.0,70.0,1.2000000000000002
49,2.0,115.0,1.4500000000000002
50,2.25,125.0,1.55
51,2.25,145.0,1.8
52,2.0,115.0,1.4000000000000001
53,2.0,120.0,1.55
54,2.25,125.0,2.0500000000000003
55,2.0,135.0,1.7000000000000002
56,2.0,145.0,1.3
57,2.0,125.0,1.55
58,2.0,125.0,1.4500000000000002
59,2.0,145.0,1.4500000000000002
60,2.0,125.0,1.5
61,2.25,120.0,2.1
62,2.25,145.0,2.1
63,2.25,125.0,1.8
64,2.25,125.0,1.85
65,2.0,95.0,1.25
66,2.0,115.0,1.7000000000000002
67,2.0,120.0,1.4500000000000002
68,2.0,130.0,1.75
69,2.0,135.0,1.4500000000000002
70,2.0,120.0,1.75
71,2.0,145.0,1.8
72,2.0,145.0,1.55
73,2.0,125.0,1.85
74,2.0,145.0,1.7000000000000002
75,2.0,115.0,1.4000000000000001
76,2.0,120.0,1.5
77,2.25,135.0,1.8
78,2.0,130.0,1.5
79,2.0,145.0,1.6500000000000001
80,2.25,145.0,2.1
81,2.25,120.0,2.0500000000000003
82,2.0,130.0,1.4500000000000002
83,2.25,145.0,2.15
84,2.0,145.0,1.4500000000000002
85,2.0,120.0,1.35
86,2.0,115.0,1.2000000000000002
87,2.0,120.0,1.4000000000000001
88,2.25,125.0,1.55
89,2.25,130.0,1.6
90,2.0,125.0,1.5
91,2.0,120.0,1.4500000000000002
92,2.25,75.0,1.4000000000000001
93,2.25,115.0,1.85
94,2.25,125.0,1.6500000000000001
95,2.25,120.0,1.8
96,2.25,145.0,2.0500000000000003
97,2.25,125.0,1.8
98,2.0,120.0,1.7000000000000002
99,2.0,145.0,1.6
100,2.25,120.0,1.6
101,2.0,115.0,1.25
102,2.5,150.0,2.85
103,2.0,120.0,1.4500000000000002
104,2.0,75.0,1.3
