,distance,angle,time
0,1.5,175.0,7.300000000000001
1,1.5,175.0,7.550000000000001
2,1.75,175.0,7.8500000000000005
3,1.5,175.0,7.8500000000000005
4,1.5,175.0,7.65
5,1.5,175.0,7.65
6,1.5,175.0,7.8500000000000005
7,1.5,175.0,7.9
8,1.5,175.0,7.25
9,1.5,175.0,7.800000000000001
10,1.5,175.0,7.6000000000000005
11,1.5,175.0,8.05
12,1.5,175.0,7.050000000000001
13,1.5,175.0,7.65
14,1.5,175.0,7.75
15,1.5,175.0,8.05
16,1.5,175.0,7.5
17,1.5,175.0,7.5
18,1.5,175.0,7.050000000000001
19,1.5,175.0,7.65
20,1.5,175.0,7.3500000000000005
21,1.5,175.0,8.05
22,1.5,175.0,7.25
23,1.5,175.0,7.4
24,1.5,175.0,8.05
25,1.5,175.0,8.35
26,1.5,175.0,7.45
27,1.5,175.0,7.050000000000001
28,1.5,175.0,8.05
29,1.5,175.0,7.9
30,1.5,175.0,7.050000000000001
31,1.5,175.0,8.25
32,1.5,175.0,7.800000000000001
33,1.5,175.0,8.3
34,1.25,175.0,11.950000000000001
35,1.5,175.0,7.550000000000001
36,1.75,175.0,8.4
37,1.5,175.0,7.050000000000001
38,1.5,175.0,7.15
39,1.5,175.0,7.800000000000001
40,1.5,175.0,7.65
41,1.5,175.0,8.05
42,1.5,175.0,8.200000000000001
43,1.5,175.0,8.3
44,1.5,175.0,7.5
45,1.5,175.0,7.2
46,1.5,175.0,7.6000000000000005
47,1.5,175.0,7.9
48,1.5,175.0,7.95
49,1.5,175.0,7.0
50,1.5,175.0,8.25
51,1.5,175.0,7.75
52,1.5,175.0,7.5
53,1.5,175.0,7.4
54,1.5,175.0,7.8500000000000005
55,1.5,175.0,7.5
56,1.5,175.0,7.95
57,1.5,175.0,8.05
58,1.5,175.0,7.800000000000001
59,1.5,175.0,7.7
60,1.5,175.0,7.1000000000000005
61,1.5,175.0,7.2
62,1.5,175.0,6.800000000000001
63,1.5,175.0,7.8500000000000005
64,1.5,175.0,7.300000000000001
65,1.5,175.0,7.9
66,1.5,175.0,7.4
67,1.5,175.0,8.05
68,1.5,175.0,7.45
69,1.5,175.0,7.65
70,1.25,175.0,12.9
71,1.5,175.0,7.300000000000001
72,1.5,175.0,6.95
73,1.5,175.0,7.15
