,distance,angle,time
0,1.25,130.0,1.05
1,1.25,130.0,0.9500000000000001
2,1.25,65.0,1.0
3,1.25,130.0,1.05
4,1.25,90.0,0.9500000000000001
5,1.25,135.0,1.3
6,1.5,130.0,1.0
7,1.25,130.0,1.05
8,1.25,130.0,1.1
9,1.5,135.0,1.25
10,1.25,130.0,1.1
11,1.25,135.0,1.0
12,1.25,130.0,1.1
13,1.25,125.0,1.05
14,1.25,135.0,1.1
15,1.25,130.0,1.25
16,1.25,135.0,0.9500000000000001
17,1.0,10.0,0.15000000000000002
18,1.25,135.0,0.9500000000000001
19,1.5,125.0,1.05
20,1.5,135.0,1.0
21,1.5,135.0,1.1
22,1.25,65.0,0.9500000000000001
23,1.25,135.0,1.2000000000000002
24,1.25,135.0,1.05
25,1.25,135.0,1.1
26,1.25,130.0,1.1
27,1.25,130.0,1.05
28,1.25,130.0,1.0
29,1.25,130.0,1.1
30,1.25,135.0,1.0
31,1.25,135.0,1.1
32,1.25,125.0,1.1
33,1.25,60.0,0.9
34,1.25,135.0,1.05
35,1.25,130.0,1.1500000000000001
36,1.25,125.0,0.9
37,1.5,130.0,1.1
38,1.25,130.0,0.9500000000000001
39,1.25,135.0,1.0
40,1.25,135.0,1.1
41,1.25,130.0,1.0
42,1.5,135.0,1.1
43,1.25,125.0,1.05
44,1.25,135.0,1.1
45,1.5,125.0,1.05
46,1.25,135.0,1.0
47,1.25,135.0,1.1500000000000001
48,1.25,125.0,1.05
49,1.25,60.0,0.8
50,1.25,130.0,1.05
51,1.25,130.0,1.05
52,1.25,130.0,1.1
53,1.25,130.0,1.0
54,1.25,135.0,1.05
55,1.25,120.0,1.0
56,1.25,125.0,1.1
57,1.25,130.0,1.0
58,1.25,135.0,1.0
59,1.25,125.0,1.05
60,1.25,130.0,1.1
61,1.5,135.0,0.9500000000000001
62,1.25,130.0,1.2000000000000002
63,1.5,125.0,1.1
64,1.25,125.0,1.1
65,1.25,135.0,1.1
66,1.25,130.0,1.05
67,1.25,130.0,1.1
68,1.25,130.0,1.2000000000000002
69,1.25,135.0,1.05
70,1.25,125.0,1.05
71,1.25,135.0,1.05
72,1.25,140.0,1.1
73,1.25,140.0,1.1500000000000001
74,1.25,130.0,1.1
75,1.25,95.0,1.05
76,1.25,130.0,1.1
77,1.25,140.0,1.3
78,1.25,135.0,1.1
79,1.25,135.0,1.1
80,1.25,130.0,1.1
81,1.5,130.0,1.0
82,1.25,100.0,1.1
83,1.25,135.0,1.1
84,1.25,135.0,1.05
85,1.25,140.0,1.2000000000000002
86,1.5,125.0,1.05
87,1.25,135.0,0.9500000000000001
88,1.25,130.0,1.1500000000000001
89,1.0,135.0,1.4500000000000002
90,1.25,135.0,1.05
91,1.25,135.0,1.0
92,1.5,135.0,0.9500000000000001
93,1.25,140.0,1.3
94,1.25,120.0,1.0
95,1.5,130.0,1.05
96,1.25,130.0,1.1
97,1.25,135.0,1.05
98,1.25,135.0,1.1
99,1.25,130.0,1.0
100,1.5,130.0,1.05
101,1.25,125.0,1.1500000000000001
102,1.25,130.0,1.1
103,1.25,135.0,1.05
104,1.25,130.0,0.9500000000000001
105,1.25,130.0,1.05
106,1.25,130.0,0.9500000000000001
107,1.25,140.0,1.05
108,1.25,65.0,0.8
109,1.25,130.0,1.05
110,1.25,130.0,1.05
111,1.25,135.0,1.05
112,1.25,130.0,1.05
113,1.25,130.0,1.05
114,1.25,90.0,0.9500000000000001
115,1.25,135.0,0.9500000000000001
116,1.5,130.0,1.0
117,1.25,120.0,0.9500000000000001
118,1.5,130.0,0.8
119,1.5,130.0,0.9
120,1.25,135.0,1.1500000000000001
121,1.25,130.0,1.05
122,1.25,140.0,1.1
123,1.25,125.0,1.0
124,1.25,130.0,1.05
125,1.25,135.0,1.05
126,1.25,130.0,1.0
127,1.25,130.0,1.05
128,1.25,130.0,1.05
129,1.25,135.0,1.1500000000000001
130,1.25,135.0,1.1
131,1.25,135.0,1.1500000000000001
132,1.5,135.0,1.1500000000000001
133,1.25,130.0,1.25
134,1.25,135.0,1.25
135,1.25,120.0,0.9500000000000001
136,1.25,130.0,1.1
137,1.25,65.0,0.8
138,1.25,130.0,1.1
139,1.25,135.0,1.1
140,1.25,130.0,1.05
141,1.25,130.0,1.05
142,1.25,125.0,1.0
143,1.25,130.0,1.0
144,1.25,125.0,0.9500000000000001
145,1.5,130.0,0.9500000000000001
146,1.25,125.0,1.05
147,1.25,100.0,1.1
148,1.25,120.0,1.1
149,1.25,135.0,1.0
150,1.25,130.0,0.9500000000000001
151,1.25,65.0,0.9500000000000001
152,1.25,135.0,0.9500000000000001
153,1.25,135.0,1.1
154,1.25,10.0,0.2
155,1.25,140.0,1.3
156,1.25,135.0,1.05
157,1.25,125.0,1.05
158,1.25,135.0,1.05
159,1.25,135.0,1.05
160,1.25,135.0,1.1
161,1.25,130.0,1.1
162,1.25,120.0,1.0
163,1.25,135.0,1.05
164,1.25,125.0,1.1
165,1.25,90.0,0.8
166,1.25,130.0,0.9500000000000001
167,1.5,135.0,1.05
168,1.5,135.0,1.05
169,1.25,120.0,1.1
170,1.5,135.0,1.05
171,1.5,135.0,1.1500000000000001
